"Name","DNSHostName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion","IPv4Address","Lastlogondate"
"DIC-LPHOTMGR01","DIC-LPHOTMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"28/07/2020 4:55:59 PM"
"DOSM","DOSM.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"06/03/2017 3:03:03 PM"
"DIC-WSCHIACC01","DIC-WSCHIACC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"07/12/2019 12:08:44 PM"
"DIC-WSINCAUD02","DIC-WSINCAUD02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"19/12/2022 5:23:59 PM"
"DIC-WSRECCLK03","DIC-WSRECCLK03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"26/11/2019 8:20:04 AM"
"DIC-WSDUTMGR02","DIC-WSDUTMGR02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"06/09/2020 11:13:27 PM"
"DIC-WSFROMGR01","DIC-WSFROMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"05/08/2020 11:23:37 AM"
"DIC-WSRECEPT06","DIC-WSRECEPT06.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)","10.10.1.117","19/12/2022 4:01:05 PM"
"DIC-WSRECEPT07","DIC-WSRECEPT07.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/07/2020 9:21:05 PM"
"DIC-WSRESAGT04","DIC-WSRESAGT04.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"26/06/2015 4:49:15 PM"
"DIC-WSRESSUP03","DIC-WSRESSUP03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"01/12/2019 3:32:36 PM"
"DIC-WSHKPMGR01","DIC-WSHKPMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"02/12/2019 8:18:45 PM"
"DIC-WSENGSUP02","DIC-WSENGSUP02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"28/11/2019 9:53:20 AM"
"DIC-WSHRCOOR01","DIC-WSHRCOOR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"08/06/2020 10:08:41 AM"
"MEHZAD-PC","MEHZAD-PC.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"05/06/2014 2:43:49 PM"
"RIJU-HP","RIJU-HP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"25/09/2017 9:40:14 AM"
"HIEX-8A9BC8A80C","hiex-8a9bc8a80c.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"09/07/2014 11:55:09 AM"
"HIEX-SALES-HP","HIEX-SALES-HP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"08/01/2015 3:57:14 PM"
"HIEXIC-KT-HC","HIEXIC-KT-HC.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"14/06/2014 3:32:29 PM"
"RJ-LEISURE","RJ-LEISURE.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"19/11/2014 3:07:48 PM"
"RHD-SM3","RHD-SM3.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"07/07/2014 8:12:48 AM"
"KARLABARBARA","KarlaBarbara.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"25/05/2014 8:54:03 AM"
"W-AP-HIE-KIT","W-AP-HIE-KIT.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"03/06/2014 8:00:54 PM"
"FNBAIRPORT","fnbairport.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"08/06/2014 4:33:40 PM"
